event_id,application_id,event_type,event_date,channel,notes
1,1,Applied,2026-04-11,Referral,
2,2,Applied,2026-03-04,Referral,
3,2,Recruiter Screen,2026-03-11,Referral,
4,2,Hiring Manager Call,2026-03-17,Referral,
5,2,Technical Interview,2026-03-21,Referral,
6,2,Rejected,2026-03-26,Referral,
7,3,Applied,2026-04-12,Cold Apply,
8,3,Recruiter Screen,2026-04-15,Cold Apply,
9,4,Applied,2026-05-06,Cold Apply,
10,4,Recruiter Screen,2026-05-11,Cold Apply,
11,4,Hiring Manager Call,2026-05-14,Cold Apply,
12,4,Technical Interview,2026-05-22,Cold Apply,
13,5,Applied,2026-03-17,Cold Apply,
14,6,Applied,2026-05-10,Cold Apply,
15,6,Recruiter Screen,2026-05-18,Cold Apply,
16,6,Hiring Manager Call,2026-05-24,Cold Apply,
17,6,Technical Interview,2026-05-27,Cold Apply,
18,6,Rejected,2026-06-01,Cold Apply,
19,7,Applied,2026-05-07,Cold Apply,
20,7,Recruiter Screen,2026-05-15,Cold Apply,
21,7,Hiring Manager Call,2026-05-23,Cold Apply,
22,7,Technical Interview,2026-05-30,Cold Apply,
23,8,Applied,2026-05-20,Referral,
24,8,Recruiter Screen,2026-05-23,Referral,
25,8,Hiring Manager Call,2026-05-31,Referral,
26,8,Technical Interview,2026-06-03,Referral,
27,8,Rejected,2026-06-03,Referral,
28,9,Applied,2026-05-04,Referral,
29,9,Rejected,2026-05-06,Referral,
30,10,Applied,2026-04-02,Recruiter,
31,10,Recruiter Screen,2026-04-09,Recruiter,
32,10,Rejected,2026-04-13,Recruiter,
33,11,Applied,2026-05-28,Cold Apply,
34,12,Applied,2026-05-19,Cold Apply,
35,12,Rejected,2026-05-24,Cold Apply,
36,13,Applied,2026-04-10,Cold Apply,
37,14,Applied,2026-05-31,Cold Apply,
38,14,Recruiter Screen,2026-06-03,Cold Apply,
39,14,Hiring Manager Call,2026-06-03,Cold Apply,
40,14,Technical Interview,2026-06-03,Cold Apply,
41,14,Take-home Submitted,2026-06-03,Cold Apply,
42,14,Final / Onsite,2026-06-03,Cold Apply,
43,15,Applied,2026-05-27,Referral,
44,15,Recruiter Screen,2026-06-03,Referral,
45,15,Hiring Manager Call,2026-06-03,Referral,
46,16,Applied,2026-05-10,Inbound,
47,17,Applied,2026-03-12,Recruiter,
48,17,Withdrawn,2026-03-15,Recruiter,
49,18,Applied,2026-06-03,Cold Apply,
50,18,Withdrawn,2026-06-03,Cold Apply,
51,19,Applied,2026-05-01,Referral,
52,20,Applied,2026-05-29,Inbound,
53,20,Recruiter Screen,2026-06-03,Inbound,
54,20,Hiring Manager Call,2026-06-03,Inbound,
55,21,Applied,2026-03-08,Referral,
56,21,Rejected,2026-03-16,Referral,
57,22,Applied,2026-03-31,Recruiter,
58,23,Applied,2026-02-20,Cold Apply,
59,23,Recruiter Screen,2026-02-26,Cold Apply,
60,23,Hiring Manager Call,2026-03-01,Cold Apply,
61,24,Applied,2026-03-12,Referral,
62,24,Recruiter Screen,2026-03-21,Referral,
63,24,Rejected,2026-03-27,Referral,
64,25,Applied,2026-03-07,Referral,
65,25,Rejected,2026-03-17,Referral,
66,26,Applied,2026-04-18,Recruiter,
67,26,Recruiter Screen,2026-04-25,Recruiter,
68,26,Hiring Manager Call,2026-04-30,Recruiter,
69,26,Technical Interview,2026-05-05,Recruiter,
70,26,Take-home Submitted,2026-05-08,Recruiter,
71,26,Final / Onsite,2026-05-15,Recruiter,
72,27,Applied,2026-06-03,Cold Apply,
73,28,Applied,2026-05-13,Recruiter,
74,29,Applied,2026-04-26,Cold Apply,
75,29,Recruiter Screen,2026-05-03,Cold Apply,
76,29,Hiring Manager Call,2026-05-05,Cold Apply,
77,30,Applied,2026-03-08,Inbound,
78,30,Recruiter Screen,2026-03-11,Inbound,
79,30,Hiring Manager Call,2026-03-19,Inbound,
80,30,Technical Interview,2026-03-24,Inbound,
81,30,Rejected,2026-03-30,Inbound,
82,31,Applied,2026-04-23,Recruiter,
83,31,Recruiter Screen,2026-04-29,Recruiter,
84,31,Rejected,2026-05-09,Recruiter,
85,32,Applied,2026-03-04,Referral,
86,32,Recruiter Screen,2026-03-12,Referral,
87,32,Hiring Manager Call,2026-03-14,Referral,
88,32,Technical Interview,2026-03-20,Referral,
89,32,Take-home Submitted,2026-03-26,Referral,
90,32,Final / Onsite,2026-03-31,Referral,
91,33,Applied,2026-05-17,Cold Apply,
92,33,Recruiter Screen,2026-05-24,Cold Apply,
93,33,Hiring Manager Call,2026-05-27,Cold Apply,
94,34,Applied,2026-04-05,Referral,
95,34,Recruiter Screen,2026-04-14,Referral,
96,34,Rejected,2026-04-22,Referral,
97,35,Applied,2026-05-13,Referral,
98,36,Applied,2026-02-25,Recruiter,
99,36,Recruiter Screen,2026-03-06,Recruiter,
100,36,Hiring Manager Call,2026-03-10,Recruiter,
101,36,Technical Interview,2026-03-19,Recruiter,
102,37,Applied,2026-05-28,Referral,
103,37,Recruiter Screen,2026-06-03,Referral,
104,37,Hiring Manager Call,2026-06-03,Referral,
105,37,Technical Interview,2026-06-03,Referral,
106,38,Applied,2026-04-28,Cold Apply,
107,38,Recruiter Screen,2026-04-30,Cold Apply,
108,39,Applied,2026-06-03,Cold Apply,
109,39,Recruiter Screen,2026-06-03,Cold Apply,
110,39,Hiring Manager Call,2026-06-03,Cold Apply,
111,39,Technical Interview,2026-06-03,Cold Apply,
112,39,Take-home Submitted,2026-06-03,Cold Apply,
113,39,Final / Onsite,2026-06-03,Cold Apply,
114,39,Offer,2026-06-03,Cold Apply,
115,39,Offer,2026-06-03,Cold Apply,
116,40,Applied,2026-04-02,Recruiter,
117,41,Applied,2026-04-28,Cold Apply,
118,42,Applied,2026-06-01,Inbound,
119,42,Recruiter Screen,2026-06-03,Inbound,
120,42,Hiring Manager Call,2026-06-03,Inbound,
121,42,Technical Interview,2026-06-03,Inbound,
122,43,Applied,2026-05-19,Inbound,
123,43,Recruiter Screen,2026-05-24,Inbound,
124,44,Applied,2026-05-25,Cold Apply,
125,44,Recruiter Screen,2026-06-02,Cold Apply,
126,44,Rejected,2026-06-03,Cold Apply,
127,45,Applied,2026-03-19,Cold Apply,
128,45,Recruiter Screen,2026-03-26,Cold Apply,
129,45,Hiring Manager Call,2026-04-03,Cold Apply,
130,45,Technical Interview,2026-04-10,Cold Apply,
131,45,Rejected,2026-04-13,Cold Apply,
132,46,Applied,2026-02-19,Recruiter,
133,46,Recruiter Screen,2026-02-27,Recruiter,
134,47,Applied,2026-05-04,Recruiter,
135,47,Recruiter Screen,2026-05-10,Recruiter,
136,47,Hiring Manager Call,2026-05-19,Recruiter,
137,47,Technical Interview,2026-05-24,Recruiter,
138,47,Rejected,2026-06-02,Recruiter,
139,48,Applied,2026-02-25,Cold Apply,
140,48,Rejected,2026-03-08,Cold Apply,
141,49,Applied,2026-03-31,Inbound,
142,49,Recruiter Screen,2026-04-09,Inbound,
143,49,Hiring Manager Call,2026-04-18,Inbound,
144,49,Technical Interview,2026-04-20,Inbound,
145,50,Applied,2026-03-05,Cold Apply,
146,50,Recruiter Screen,2026-03-14,Cold Apply,
147,51,Applied,2026-05-11,Referral,
148,51,Recruiter Screen,2026-05-17,Referral,
149,51,Hiring Manager Call,2026-05-20,Referral,
150,51,Technical Interview,2026-05-25,Referral,
151,52,Applied,2026-04-29,Cold Apply,
152,52,Recruiter Screen,2026-05-08,Cold Apply,
153,52,Hiring Manager Call,2026-05-11,Cold Apply,
154,53,Applied,2026-05-26,Cold Apply,
155,53,Recruiter Screen,2026-06-03,Cold Apply,
156,53,Hiring Manager Call,2026-06-03,Cold Apply,
157,53,Technical Interview,2026-06-03,Cold Apply,
158,53,Rejected,2026-06-03,Cold Apply,
159,54,Applied,2026-04-23,Referral,
160,54,Recruiter Screen,2026-04-29,Referral,
161,55,Applied,2026-03-16,Cold Apply,
162,56,Applied,2026-06-03,Referral,
